the	ザ	1	1207471	特定の. 場面や文脈からそれとわかるものの前. 日付. 唯一のもの		27
be	ある	2	928529	である. ある. (助動詞)受け身を作る		27
of	の	3	607082	の. (前置詞)		27
and	と	4	597774	と. そして. (接続詞)そうすれば		27
to	へ	5	534442	へ. (前置詞 到達点)		27
a	a	6	492569	アルファベットのa. ひとつの. 1人の. 例示時(NATO phonetic alphabetという. 以下zまで同) A as Alpha.		35
in	中に	7	410727	中に. in年･月 (at時間, on日･曜日). 2. Indianaインディアナ州,IN		27
i	i	8	347939	アルファベットのi, 例示時 I as India. 2. (I)私は. 私. 私が		35
that	その	9	339971	あの. それ. あれ. 名詞節を導く. 同格を導く		27
have	持っている	10	258821	持っている. 経験する. 食べる. (完了形を作る)	895	27
it	それ	11	255747	それ. IT(Information Technology. 情報通信技術)		
for	のために	12	204989	ために. 目的への方向. というのは		
you	あなた	13	179506	あなたは. あなたがたは. あなたを. あなたがたを		
do	行う	14	162482	する. 役に立つ. (助動詞)疑問･否定･強調を作る		27
with	ととも​​に	15	150903	とともに		
on	オン	16	142704	上に		
as	として	17	125405	ように. (多義語)		
but	しかし	18	115609	しかし. であるが. ～以外の. except		
they	彼ら	19	107041	彼ら. 彼らは. 彼女らは. それらは		
at	に	20	101255	場所を示す前置詞		
by	によって	21	99089	そばに. (接近)←接触はしない		
he	彼	22	98698	彼. 彼は. 彼が		
not	しない	23	97397	しない. (文や語の否定)～でない		
this	この	24	96861	この. これは. この人は. 今の. 現在の. (電話で)こちらは		
we	我々	25	96676	私たち. 私たちは		
or	または	26	94235	または,あるいは,(命令文の後で)さもなくば. 2. Oregon オレゴン州,OR		27
from	から	27	88691	から. (起点)		
know	知っている	28	81377	を知っている. (You know. などの間投詞的な使用が多い)		
say	言う	29	78853	言う. 言う. たとえば. 言い分. 発言の機会. (the say)決定権	725	
an	ひとつの	30	74072	ひとつの. 1人の		
so	そう	31	73225	そのように. とても. それほど. そういうわけで		
uh	ええと	32	71834	ええと. huh(話がつかえた時など)		30
like	様	33	66459	を好む. が好きである		
all	すべて	34	62668	すべての. 全部の. すべて(のこと)		
get	もらう	35	62162	得る. (もの･こと)を得る. (状態に)なる		
there	そこ	36	61531	そこ. そこに. そこで		
his	彼の	37	59651	彼の. 彼のもの		
about	約	38	59306	約. について		
if	場合	39	57483	もし. もし～なら. たとえ～でも. かどうか		
go	行く	40	56579	行く. (本来を離れて別の場･状態に)行く. 至る		
what	何	41	56061	何. 何の. (感嘆)何と. 何だって?		30
just	ちょうど	42	56027	ちょうど. まさに. たった今. ただ～だけ		
yeah	はい	43	54594	はい		30
think	考える	44	54471	思う. 考える		
my	私の	45	53487	私の. 私の		
would	だろう	46	51881	willの過去形. だろう		
more	もっと	47	50732	より多くの. もっと多くのこと		50
time	時間	48	49408	時間. 時刻. 回. (times)時代. 時勢		61
can	缶	49	47505	できる. (能力･許可･依頼･可能性). 缶		
when	いつ	50	47382	いつ. の時に. だけれども. するときはいつでも. ～ならば		
who	誰	51	46483	誰. 2. WHO(World Health Organization世界保健機関)		27
out	アウト	52	45482	外へ. (外への移動)		
use	使用	53	45307	を使う. 使用		
which	どちらの	54	45149	どちらの. どちら		
their	彼らの	55	44269	彼らの. 彼女らの. それらの		
make	作る	56	43980	作る. (対象を新しい別のもの･状態に)する		
